case_id,label,n,nx_spectrum,rel_mean,rel_var,rel_q25,rel_q50,rel_q75,abs_q25,abs_q50,abs_q75,CDF_sup,W1,residual_l2,F,elapsed_s,strategy_stage1,stage1_config,solver
case_1,"Kum(2,8)",4,801,2.050851127105829e-11,0.0006054965491911033,0.24385846482631707,0.07993421916847815,0.220015830870642,0.04583071215594664,0.023028264279689736,0.08775945413932601,0.2112668457058371,0.04582583946810762,5.049722531949244e-15,1.9260797609689415,95.78328530001454,chebyshev,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_1,"Kum(2,8)",5,801,9.938274093188525e-06,1.1306618163300766e-08,0.3848400039842302,0.0750815249731006,0.04973058385490297,0.07232675503496068,0.021630250693491615,0.019836431205272065,0.19279010856508016,0.03848184558203504,2.4978030752900264e-14,1.7197515794799196,150.64744520001113,regularizacao_minima,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_1,"Kum(2,8)",6,801,8.710072816806287e-09,5.882324080869034e-09,0.22739264291697098,0.19929264446857484,0.09015132844429717,0.04273612880869315,0.05741425554114116,0.03595937320918624,0.16973930154838923,0.03322075164366222,1.2789608795812229e-14,1.7356228778609908,103.67895770003088,uniforme_extra_17,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_1,"Kum(2,8)",7,801,1.856017416066762e-08,1.4451066836799897e-09,2.1265401814000768e-08,4.5606241757877973e-07,1.0756355407987201e-08,3.996615455248431e-09,1.313871079156037e-07,4.290472532808565e-09,0.19666024903566492,0.03644032675126112,1.429609265936114e-14,0.35128037650959654,275.1176783000119,uniforme_extra_19,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_1,"Kum(2,8)",8,801,0.001727608928939319,1.3197211686997223e-11,0.028470637016756558,0.0049073338153489765,0.020365624471868078,0.005350765949177716,0.0014137547246233506,0.008123397665454668,0.13295394262986,0.026130278292181636,4.265864210228447e-15,0.20194515115618242,168.59543810016476,uniforme_extra_7,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_1,"Kum(2,8)",9,801,6.29762739212668e-07,5.498664091513638e-09,0.0035225406004047383,5.51305386240394e-07,0.03766192527211839,0.0006620255910729511,1.5882567272473835e-07,0.01502250992866272,0.1631701934274845,0.025221675281279325,2.7397089285477693e-15,0.5531407632213494,486.31191950012,uniforme_extra_10,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_1,"Kum(2,8)",10,801,0.00037178043521024604,5.318984369093419e-11,0.19852649423509375,0.11770133371354248,0.02202137665614242,0.03731103047457496,0.03390859943367375,0.008783840631339912,0.10993253961281813,0.021528341134751876,2.416970827399361e-14,1.143658091617574,161.26305900001898,uniforme_extra_0,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_1,"Kum(2,8)",11,801,1.7364269465967139e-09,4.846364700329054e-09,0.15743786693001047,0.029544315304886788,0.05805429549892511,0.02958884189997102,0.00851142736966537,0.023156575884870245,0.10020767944142134,0.019811189564908942,2.556675910541666e-14,0.8205162231614547,290.8373686999548,uniforme_extra_8,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_1,"Kum(2,8)",12,801,7.400373015741794e-08,2.3571223214196772e-11,0.07197644061688749,0.046078861247649976,0.05573342778616321,0.013527238163627442,0.013274867829527581,0.02223083302902401,0.09273785513772675,0.018341224272569855,1.447833762392307e-14,0.5830243034083398,313.0005692001432,uniforme_extra_17,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_1,"Kum(2,8)",13,801,3.5305784453467064e-05,8.93200056587359e-09,0.0010463569744127278,0.11154624321341676,0.016353650303190692,0.00019665212499730966,0.03213537825034607,0.006523109805845084,0.08669013583632001,0.01708026017920424,3.1814045017478724e-14,0.43252443345867125,256.9108479002025,uniforme_extra_16,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_1,"Kum(2,8)",14,801,1.4559714241284127e-09,6.8769892114964225e-09,0.06531048748760722,0.052838267470293215,0.07950930411894361,0.01227444023704874,0.015222186443358376,0.0317145048193313,0.08131997315708595,0.01597943599749458,3.9639167483379184e-14,0.6606760292308788,356.2424840000458,uniforme_extra_6,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_2,"Kum(2,2.41)",4,801,0.006367738951838693,4.04000958520155e-11,0.15151124452740064,0.22739136209897193,0.08482189108299792,0.05082310596736184,0.11368388959617626,0.05609941985687572,0.17834556894638176,0.055408700681037884,4.862990001735104e-16,1.6568221439466118,37.475793699966744,chebyshev,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_2,"Kum(2,2.41)",5,801,3.506650605678533e-08,2.2967766369820178e-10,0.03950370913977433,1.1025711964130613e-08,0.02553082913124502,0.013251169587954248,5.512284240172249e-09,0.01688555494862054,0.14286369649137642,0.045016871192100974,3.8770100988636403e-16,0.26304629867730245,103.01789860008284,uniforme,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_2,"Kum(2,2.41)",6,801,0.00012794916703724195,6.764998918964736e-10,0.19728155683908674,0.1517027170477216,0.10042441355502357,0.06617635212431872,0.07584349192994749,0.066418600999961,0.1222000185934567,0.038299171234535676,5.295511679284065e-16,1.5084711821229253,63.46400639996864,gauss_legendre,MS_V1_REFERENCE,KSQ_V1_Multiobjective
